year,ISO3,ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80_84,F_85_89,F_90Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80_84,M_85_89,M_90Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80_84,T_85_89,T_90Plus
2022,MMR,Myanmar,MMR,Chin,MMR004,Hakha,MMR004D003,57897,52798,110696,7091,6847,6466,5906,4813,3496,3040,3220,3063,2854,2784,2314,1968,1541,1175,652,394,153,101,7379,7074,6609,6447,4737,2651,1986,2161,2293,2342,2354,2064,1670,1202,905,480,271,109,46,14471,13922,13076,12353,9550,6149,5028,5382,5356,5197,5138,4380,3640,2744,2081,1134,666,262,148
2022,MMR,Myanmar,MMR,Ayeyarwady,MMR017,Hinthada,MMR017D002,618901,548154,1167058,44962,46466,47347,49744,42261,37647,38763,43294,44002,42593,39877,37045,34594,27893,20042,10443,6706,3770,1395,45828,46912,47528,50650,42274,34256,32654,36146,36165,34635,32372,30243,27731,21498,14711,7066,4284,2352,794,90795,93383,94876,100395,84539,71906,71421,79444,80170,77232,72252,67292,62329,49396,34757,17513,10994,6126,2191
2022,MMR,Myanmar,MMR,Sagaing,MMR005,Hkamti,MMR005D008,152636,168167,320803,18454,16875,14847,14752,13354,12024,10464,9844,9002,7802,7076,5704,4746,3177,2152,1207,616,365,155,19304,17217,15130,19634,20465,16301,12854,11961,10159,7560,6119,4512,2915,1872,1101,547,278,136,81,37760,34093,29979,34387,33820,28327,23319,21807,19163,15363,13196,10216,7662,5049,3254,1755,896,502,238
2022,MMR,Myanmar,MMR,Kayin,MMR003,Hpa-An,MMR003D001,442729,411642,854374,41794,44241,46264,47988,33332,24458,22743,23466,24897,25860,25848,23157,20113,15358,10976,6313,3610,1582,700,43201,45563,47482,51092,34661,22655,20576,20724,21987,22445,21821,18692,14993,11011,7493,3936,2044,879,359,84997,89805,93747,99081,67996,47114,43322,44190,46885,48306,47671,41852,35106,26372,18470,10252,5657,2463,1059
2022,MMR,Myanmar,MMR,Yangon,MMR013,Yangon (North),MMR013D001,1637649,1488016,3125668,137971,124080,111267,126652,156171,168605,157618,127834,107489,93053,86814,74613,59828,43258,29082,17632,8883,4841,1874,140825,126565,113428,124842,147470,156985,139841,116503,99168,81010,71527,59008,44240,29318,18827,10121,4787,2580,885,278803,250650,224698,251498,303646,325594,297463,244344,206663,174067,158348,133626,104072,72579,47915,27759,13676,7426,2762
2022,MMR,Myanmar,MMR,Shan (North),MMR015,Hopang,MMR015D006,127937,132260,260199,15816,16454,13748,13786,11742,10363,7799,7037,5929,5109,4979,3598,4612,2638,2406,837,705,193,159,15917,16863,14481,14778,11397,9791,8273,7206,6904,5273,5834,3315,5036,2382,2824,797,778,202,182,31733,33319,28231,28565,23140,20157,16075,14244,12835,10384,10814,6914,9649,5022,5232,1635,1484,397,342
2022,MMR,Myanmar,MMR,Shan (South),MMR014,Pa-O Self-Administered Zone,MMR014S002,265736,256766,522503,28889,27340,25912,26170,24888,21775,18871,17692,15330,13329,11767,10600,8559,6132,4154,2325,1255,542,177,29683,27450,24133,27496,25443,21763,18688,17236,15248,13000,10735,9379,6733,4546,2762,1386,686,303,71,58574,54791,50046,53667,50333,43539,37559,34930,30580,26332,22504,19980,15292,10680,6918,3713,1942,845,249
2022,MMR,Myanmar,MMR,Kachin,MMR001,Mohnyin,MMR001D002,363877,457143,821021,36324,33481,31417,33301,34058,31519,27414,26113,23476,21172,18118,14951,12386,8284,5141,3503,1898,948,346,38061,34667,32421,42034,51697,52533,47873,40877,33883,27433,20614,13613,9547,5705,3066,1738,839,401,116,74388,68149,63839,75337,85756,84053,75287,66991,57361,48606,38733,28567,21935,13989,8207,5243,2738,1351,463
2022,MMR,Myanmar,MMR,Kayin,MMR003,Hpapun,MMR003D004,18697,19340,38038,1805,2036,2080,2561,1860,1234,1016,1004,1006,863,860,682,606,455,281,163,97,60,20,1885,2028,2185,2790,2146,1372,1172,1022,1104,931,844,609,506,330,195,125,51,31,6,3691,4065,4265,5352,4007,2606,2188,2027,2111,1795,1704,1292,1112,785,476,288,149,92,26
2022,MMR,Myanmar,MMR,Shan (North),MMR015,Lashio,MMR015D001,392294,376876,769172,39701,37862,37455,37475,32657,29887,27061,25548,23243,22236,20692,17492,15154,10768,7552,3611,2252,963,640,40785,39024,38290,36923,32112,29700,27527,25226,22958,20690,18395,14755,12508,8052,5483,2367,1255,539,243,80489,76889,75746,74401,64773,59589,54589,50777,46203,42928,39088,32248,27664,18822,13037,5979,3511,1506,885
2022,MMR,Myanmar,MMR,Shan (North),MMR015,Kyaukme,MMR015D003,323496,307844,631343,30548,28594,28047,28022,27390,25105,24001,23154,20878,19666,17572,16107,12885,9217,5830,3450,1747,867,378,31842,29381,27735,27258,26866,24216,23732,23081,20549,18930,15891,13522,10309,6858,4013,2097,960,407,157,62394,57977,55783,55282,54259,49324,47735,46237,41428,38599,33467,29632,23196,16077,9843,5548,2710,1276,537
2022,MMR,Myanmar,MMR,Bago (East),MMR007,Taungoo,MMR007D002,601608,536466,1138076,51992,51801,51307,56268,49595,43001,40935,40782,40003,37538,33192,30418,24159,20572,13955,7711,4352,2820,1149,52925,52730,51555,56997,47283,37285,34568,34624,33661,31379,27174,24464,18924,14820,9393,4495,2312,1353,472,104920,104532,102865,113269,96883,80287,75507,75408,73667,68920,60371,54885,43089,35396,23352,12210,6667,4176,1626
2022,MMR,Myanmar,MMR,Shan (South),MMR014,Taunggyi,MMR014D001,627006,613142,1240150,57899,55045,55257,59678,58706,53055,48834,45959,39658,35364,29699,27265,22155,16701,10342,5987,3263,1540,555,59923,57005,57603,63717,60746,53081,47546,44850,39673,34456,26442,23438,18000,12606,7322,3786,1854,796,248,117826,112054,112862,123397,119457,106140,96382,90813,79334,69822,56144,50706,40156,29310,17665,9777,5118,2339,806
2022,MMR,Myanmar,MMR,Sagaing,MMR005,Kale,MMR005D005,280871,260245,541117,25452,25551,24408,24818,23406,21699,20584,20086,19132,17375,16060,13752,10501,7638,4959,2813,1550,757,302,25897,26123,24892,25704,22656,18994,17713,17624,16674,15461,14134,11749,8989,6166,3853,2035,949,456,152,51350,51676,49301,50525,46063,40695,38298,37711,35808,32838,30196,25501,19491,13805,8813,4850,2501,1215,455
2022,MMR,Myanmar,MMR,Sagaing,MMR005,Kanbalu,MMR005D010,221881,202227,424110,18948,19195,19212,19847,18737,17794,16900,16196,14743,13477,11957,10676,7928,5887,4545,2842,1595,930,454,19295,19634,19098,20708,17691,15484,14583,14273,13126,12230,10431,8762,6422,4501,2913,1638,840,453,129,38244,38829,38310,40556,36429,33280,31483,30469,27870,25708,22389,19438,14351,10390,7460,4482,2435,1385,585
2022,MMR,Myanmar,MMR,Ayeyarwady,MMR017,Pathein,MMR017D001,849503,800154,1649662,70227,73110,72586,74823,63549,55499,56958,59586,59083,55845,52161,47252,38938,28122,19597,10573,6218,3803,1510,71950,74569,73785,76947,65608,53715,51004,53589,53425,49781,46197,41795,34346,23337,15408,7510,4110,2224,787,142180,147683,146376,151774,129158,109217,107967,113179,112512,105630,98362,89050,73287,51463,35009,18087,10333,6031,2301
2022,MMR,Myanmar,MMR,Sagaing,MMR005,Yinmarbin,MMR005D009,313002,267760,580764,23103,24556,25180,24721,24212,23755,22972,23606,21964,20100,18589,17121,14690,11091,7933,4817,2530,1458,567,23570,25060,24535,23446,20866,19203,17948,18823,18000,16530,15118,13863,11684,8084,5536,3054,1400,768,240,46674,49618,49716,48170,45080,42959,40922,42429,39966,36631,33709,30987,26377,19176,13471,7874,3931,2227,809
2022,MMR,Myanmar,MMR,Chin,MMR004,Mindat,MMR004D002,38301,33346,71649,5579,5297,4421,3916,2896,2516,2124,2021,1905,1633,1495,1260,1216,852,563,322,175,51,39,5740,5446,4438,3645,2363,1664,1323,1361,1387,1170,1226,1070,916,672,435,244,136,50,43,11320,10745,8859,7562,5260,4181,3449,3384,3292,2804,2721,2330,2134,1526,998,568,313,102,83
2022,MMR,Myanmar,MMR,Kayin,MMR003,Kawkareik,MMR003D003,267948,248592,516541,25345,27300,27544,30486,23273,16290,14654,14774,15043,14886,15026,12706,10898,7680,5627,3294,1853,862,389,25629,27399,27527,30619,22973,14744,13321,13003,13729,13254,12450,10723,8567,6034,4292,2279,1263,542,224,50975,54699,55071,61105,46248,31035,27976,27779,28774,28142,27477,23431,19466,13715,9920,5575,3117,1405,613
2022,MMR,Myanmar,MMR,Sagaing,MMR005,Kawlin,MMR005D011,185087,167061,352149,16426,15527,15001,15900,15084,13877,12925,12865,12805,11902,11615,9795,7187,5113,3862,2573,1499,834,271,16923,16011,15171,16745,14922,12998,11616,11457,10911,10012,9302,7527,5313,3481,2277,1317,661,314,73,33350,31539,30174,32646,30007,26877,24542,24325,23719,21915,20920,17323,12502,8595,6139,3891,2160,1149,347
2022,MMR,Myanmar,MMR,Shan (East),MMR016,Kengtung,MMR016D001,245240,254751,499994,26217,24803,21856,22413,22030,20150,16661,15074,13726,12844,12792,10796,9707,6607,4739,2255,1597,621,313,26834,25708,23429,23516,23187,20858,19545,18373,16248,13693,12920,9957,8605,5300,3614,1456,931,367,165,53052,50513,45288,45931,45218,41010,36209,33447,29977,26541,25715,20754,18316,11908,8356,3713,2529,990,480
2022,MMR,Myanmar,MMR,Kachin,MMR001,Puta-O,MMR001D004,55818,55347,111169,7376,6670,5911,4888,4698,4207,3523,3086,2977,2809,2620,1900,1808,1233,1048,436,354,120,113,7447,6769,5672,4522,3933,4058,4178,3562,3153,2956,2834,1893,1597,1104,830,384,247,96,73,14824,13441,11587,9411,8636,8268,7705,6650,6132,5767,5456,3794,3409,2339,1879,822,601,219,187
2022,MMR,Myanmar,MMR,Sagaing,MMR005,Shwebo,MMR005D002,608721,501499,1110223,43709,44298,45131,48315,47097,44538,43968,45238,43447,41450,37233,33475,28423,22750,16561,10974,6634,3839,1588,44392,45357,45131,44932,38969,35115,33599,34933,33618,32600,29351,25665,20331,15470,10353,6038,3256,1769,567,88105,89657,90264,93251,86070,79656,77570,80172,77069,74054,66588,59142,48756,38224,26918,17014,9894,5612,2157
2022,MMR,Myanmar,MMR,Shan (North),MMR015,Kokang Self-Administered Zone,MMR015S002,84322,91983,176305,9709,9575,8754,8992,8010,6772,5594,4925,4191,3647,3330,2950,2442,2071,1546,909,538,235,113,10018,9876,9035,10133,9430,8676,7111,6303,5210,4063,3547,2812,2123,1578,1089,550,268,108,35,19729,19452,17790,19126,17440,15448,12706,11230,9401,7711,6877,5763,4565,3650,2636,1461,807,344,150
2022,MMR,Myanmar,MMR,Shan (South),MMR014,Loilen,MMR014D002,331739,315926,647667,33314,33424,30834,28101,27156,25855,23581,22767,20659,19688,18763,15429,12745,7907,5812,2654,1819,702,462,34038,33723,31595,27696,26860,24584,22779,22079,19946,18529,16462,13247,10335,6198,4207,1875,1061,437,216,67356,67150,62435,55801,54019,50441,46362,44848,40610,38223,35229,28682,23084,14108,10023,4533,2881,1141,680
